team,players,avg_gap,total_gap,avg_actual_apy,avg_predicted_apy,n_undervalued,n_overvalued
Buffalo Bills,10,2.4760000000000004,24.760000000000005,10.174,12.65,2,0
New York Jets,10,2.1950000000000003,21.950000000000003,8.961,11.156,3,1
Indianapolis Colts,6,1.9116666666666668,11.47,2.453333333333333,4.365,2,0
Tennessee Titans,9,1.7366666666666666,15.629999999999999,1.6055555555555554,3.342222222222222,2,0
Cleveland Browns,12,1.3033333333333332,15.639999999999999,1.5250000000000001,2.828333333333333,3,0
Las Vegas Raiders,14,0.3278571428571431,4.590000000000003,2.4935714285714283,2.8214285714285716,1,1
Dallas Cowboys,10,0.26900000000000013,2.6900000000000013,4.011,4.279999999999999,3,3
New England Patriots,7,0.23428571428571424,1.6399999999999997,2.412857142857143,2.6471428571428572,1,1
Kansas City Chiefs,13,0.23384615384615393,3.040000000000001,2.1746153846153846,2.4084615384615384,2,1
Atlanta Falcons,6,0.09333333333333356,0.5600000000000014,3.5499999999999994,3.643333333333333,1,1
Carolina Panthers,14,0.006428571428571482,0.09000000000000075,2.462857142857143,2.4692857142857143,1,1
Los Angeles Chargers,10,-0.05299999999999998,-0.5299999999999998,2.537,2.484,1,1
Miami Dolphins,14,-0.1371428571428573,-1.9200000000000021,2.14,2.0028571428571427,0,1
New Orleans Saints,8,-0.19374999999999998,-1.5499999999999998,2.8312500000000003,2.6375,0,1
LA,11,-0.2981818181818179,-3.2799999999999967,8.998181818181818,8.700000000000001,2,3
Chicago Bears,7,-0.35000000000000003,-2.45,1.8542857142857143,1.5042857142857142,0,1
New York Giants,7,-0.39999999999999986,-2.799999999999999,3.134285714285714,2.7342857142857144,2,1
Washington Commanders,11,-0.418181818181818,-4.599999999999998,6.807272727272727,6.38909090909091,3,2
Jacksonville Jaguars,12,-0.5275000000000001,-6.330000000000001,3.8691666666666666,3.341666666666667,1,3
Arizona Cardinals,6,-0.5566666666666666,-3.34,5.05,4.493333333333333,1,1
Seattle Seahawks,7,-0.9342857142857154,-6.540000000000008,12.629999999999999,11.695714285714285,3,1
Pittsburgh Steelers,12,-1.0975,-13.169999999999998,4.8966666666666665,3.799166666666667,1,1
Philadelphia Eagles,8,-1.09875,-8.79,4.92375,3.8249999999999997,0,1
Tampa Bay Buccaneers,4,-1.12,-4.48,7.1525,6.0325,1,1
Baltimore Ravens,7,-1.3814285714285712,-9.669999999999998,7.12,5.738571428571428,0,2
Green Bay Packers,4,-1.46,-5.84,3.9274999999999998,2.4675000000000002,0,1
Denver Broncos,7,-1.48,-10.36,5.474285714285714,3.994285714285714,0,2
Minnesota Vikings,8,-1.7362499999999996,-13.889999999999997,10.036249999999999,8.3,1,2
Cincinnati Bengals,9,-2.147777777777778,-19.33,10.166666666666666,8.018888888888888,0,2
Houston Texans,8,-2.3724999999999996,-18.979999999999997,5.02,2.6475,0,2
Detroit Lions,8,-3.16,-25.28,5.225,2.065,1,1
San Francisco 49ers,11,-3.4618181818181815,-38.08,8.927272727272728,5.465454545454546,0,3
